Vendor,Model,ModelID,Mode,Objective,Fund_+_Market_LS_CAGR,Fund_+_Market_LS_Sharpe,Fund_+_Market_Mean_IC,Fund_only_LS_CAGR,Fund_only_LS_Sharpe,Fund_only_Mean_IC,Market_only_LS_CAGR,Market_only_LS_Sharpe,Market_only_Mean_IC
Anthropic,Claude Opus 4,claude-opus-4-20250514,sharpe,Sharpe,0.3382831374043078,1.0075636715448408,0.2295514710799283,-0.2293641326773881,-0.8485109800501355,0.007558979972773074,1.0384945180738918,2.578545001779188,0.29994526546250677
OpenAI,GPT-4o,gpt-4o-2024-05-13,sortino,Sortino,-0.5232777851406636,-2.249688796119365,-0.1559292395412,-0.007995238956254536,0.08437869907694474,0.015419364813820544,-0.3753161342623822,-1.3062473057683552,-0.107399114295666
OpenAI,GPT-4o mini,gpt-4o-mini-2024-07-18,sortino,Sortino,-0.4927853356256119,-2.836972342665504,-0.2359643302127569,-0.004303915166125161,0.07919771540544161,0.01942264339210814,-0.5266439721181111,-2.489770700579415,-0.1820475587492079
OpenAI,GPT-4.1,gpt-4.1-2025-04-14,sortino,Sortino,0.3479038849619316,1.0184826281419936,0.1949599942784242,0.02774596212873992,0.2362248756714211,0.1272647525295406,1.5181509443152428,2.9256711206678694,0.3755883962780514
OpenAI,GPT-4.1 mini,gpt-4.1-mini-2025-04-14,sortino,Sortino,0.715239726441226,1.8795882170818583,0.3593971380467419,0.22029214508268047,0.641839856557549,-0.02085206006774634,-0.2440955970335702,-0.8302643287750419,-0.006899077933560693
OpenAI,GPT-4.1 nano,gpt-4.1-nano,sortino,Sortino,-0.0948035654509324,-0.2430672493344074,0.1184035736520208,0.08672796669551852,0.4803505059505253,0.0964806581360719,0.6682004479336991,2.159648982546682,0.2012222957989548
OpenAI,o4-mini,o4-mini,sortino,Sortino,0.3917387423878378,1.0604071856888266,0.2416616803461195,-0.29206601063713034,-1.3112437191093809,-0.0003940886699507281,0.37014239447911446,1.2579120850181518,0.1925451559934318
OpenAI,o3,o3,sortino,Sortino,0.4642654322416255,1.263913892995668,0.314647717056439,-0.324638851514926,-1.5057620549229078,0.005714285714285711,0.8847827444413465,2.2786543311071115,0.28899835796387513
Google,Gemini 2.5 Flash,gemini-2.5-flash,sortino,Sortino,0.092142305460344,0.4288907409977037,0.1977407367761927,0.05321396980311843,0.3253748612983074,0.17500000000000002,0.6958470970153805,1.523806181504766,-0.07499999999999998
Google,Gemini 2.5 Pro,gemini-2.5-pro,sortino,Sortino,0.3737429821681686,1.0116456901815871,0.2910629966767282,0.015429823210609372,0.19041115063140718,0.010180623973727411,0.8211498519390472,1.8760417587545335,0.2608591712547087
Anthropic,Claude Sonnet 4,claude-sonnet-4-20250514,sortino,Sortino,-0.0415841020530045,0.0906117933400687,0.285446801177001,-0.3602662464607216,-1.6666617751020574,-0.06220580186097427,1.1041803937526633,2.6994414174318297,0.3526546250684181
Anthropic,Claude Opus 4,claude-opus-4-20250514,sortino,Sortino,1.0273812716542945,2.120408859035112,0.3824436745955657,-0.11273393757394823,-0.33134927459885766,-0.006431308155446081,1.7862011941346947,3.3599282652864932,0.40062944718117127
