ModelID,Model,Vendor,Mode,ModeLabel,Q1_CAGR,Q1_Vol,Q1_Sharpe,Q1_Sortino,Q1_MDD,Q1_Calmar,Q1_Hit,Q2_CAGR,Q2_Vol,Q2_Sharpe,Q2_Sortino,Q2_MDD,Q2_Calmar,Q2_Hit,Q3_CAGR,Q3_Vol,Q3_Sharpe,Q3_Sortino,Q3_MDD,Q3_Calmar,Q3_Hit,Q4_CAGR,Q4_Vol,Q4_Sharpe,Q4_Sortino,Q4_MDD,Q4_Calmar,Q4_Hit,Q5_CAGR,Q5_Vol,Q5_Sharpe,Q5_Sortino,Q5_MDD,Q5_Calmar,Q5_Hit,Q1_minus_Q5_CAGR,Q1_minus_Q5_Vol,Q1_minus_Q5_Sharpe,Q1_minus_Q5_Sortino,Q1_minus_Q5_MDD,Q1_minus_Q5_Calmar,Q1_minus_Q5_Hit
o3,o3,OpenAI,sharpe,Sharpe,1.0253468977943077,0.25610653320773524,2.8641561232430233,4.75654347314296,-0.1070946672917743,9.574210590717827,0.5896656534954408,0.5103608709661303,0.2934748542773074,1.541184392225126,2.273577251914362,-0.2415683404011697,2.1126976743665167,0.5379939209726444,-0.02509890562539485,0.30798268764763004,0.06867289181580867,0.10419041517107788,-0.31519811584548896,-0.0796289836887807,0.48936170212765956,-0.1749954250104414,0.2421092945967177,-0.6666922869464399,-0.9181374693842953,-0.2720807931389966,-0.6431744886932991,0.42249240121580545,-0.035358481735548564,0.3061494968202712,0.034848870674159496,0.05216771343050433,-0.31779640964189104,-0.11126142606643126,0.45288753799392095,0.9662824724466672,0.3197148090525825,2.2609529199160194,3.4581403670681694,-0.2592626431508037,3.7270408906716868,0.5623100303951368
o3,o3,OpenAI,sortino,Sortino,0.7992197162751058,0.2596095847276031,2.3765475435579866,3.6573763758007614,-0.19769265763360422,4.0427384903507555,0.5957446808510638,0.6209804300137662,0.2730764697541352,1.892171988082779,2.880013841118438,-0.21352087076465232,2.908289141899507,0.541033434650456,-0.18122204858967772,0.2437489639770956,-0.69232035823418,-0.9756151125107213,-0.3646365665412389,-0.496993623839375,0.45592705167173253,0.013991947995135368,0.27426572435780117,0.18633106751090925,0.2753186587120763,-0.24907517505280075,0.05617560237454115,0.46504559270516715,0.017504190756037596,0.3574082748546555,0.2221669703018378,0.3522866182796861,-0.35639485359085543,0.049114600224089006,0.44376899696048633,0.615836480244863,0.34719416019131455,1.548327330698798,2.1777999976068734,-0.3239087801947209,1.9012651644535445,0.5440729483282675
gemini-2.5-flash,Gemini 2.5 Flash,Google,return,Exp. Return,0.8298134098374124,0.3795250117975372,1.7697698382452367,2.7204100881607505,-0.36684012171090175,2.262057394287338,0.5750636132315522,0.5137072150561446,0.27925429733312795,1.6124364099890025,2.5369666734029197,-0.2513212857178707,2.044025891355753,0.5343511450381679,0.2625721103393477,0.2302301874550693,1.1183161455361226,1.7457530028129205,-0.2041819657279853,1.2859711160247655,0.5139949109414759,-0.11517972053970815,0.23685363339211032,-0.39495246104612824,-0.5555616993108065,-0.3226967128516536,-0.3569287072120169,0.46055979643765904,-0.19477192224038553,0.2365360749402154,-0.7891567609916238,-1.0367089218115537,-0.30906103148870456,-0.6302053717422604,0.46564885496183206,1.2069172323631334,0.379353293603659,2.262629522318618,3.48528420078198,-0.3600605486655284,3.3519840949980804,0.5750636132315522
gemini-2.5-flash,Gemini 2.5 Flash,Google,sharpe,Sharpe,0.39783627336519345,0.3024934948564709,1.2509573563250183,1.7718221356938677,-0.36684012171090175,1.0844949879247916,0.5521628498727735,0.6032736888320913,0.24974012123653752,1.999891232906628,3.3247851981921577,-0.15427084923303713,3.910484008037081,0.5343511450381679,-0.022137750071312134,0.23952378389348766,0.02553127568557643,0.037670776348815396,-0.34401839046231975,-0.06435048440742262,0.48346055979643765,0.2389484644828801,0.2911699791007323,0.8727618271201534,1.4255042164566025,-0.23035164896236082,1.0373203993079467,0.4860050890585242,0.1594634899536047,0.3648797156436271,0.5815453713061176,0.926466269131048,-0.37524517480427233,0.4249581358022279,0.4732824427480916,0.08332643404430962,0.4135267066688436,0.4019386178320697,0.5387999359724043,-0.6585609147933837,0.12652805863896793,0.5521628498727735
gemini-2.5-flash,Gemini 2.5 Flash,Google,sortino,Sortino,0.7593214414102771,0.23880219723584165,2.4681331550496854,3.9126736310155383,-0.17813920781675519,4.262517222998776,0.5750636132315522,0.015361293560254508,0.2521345194781253,0.18697803967366589,0.24862084081327196,-0.3554380237251392,0.04321792418059757,0.5368956743002544,0.45331046680245146,0.2839815548092314,1.4460915459598582,2.4461067798844387,-0.19383550936707494,2.3386347954646287,0.49363867684478374,-0.07832695665457767,0.27845083093148526,-0.15219700512733247,-0.21364232548310985,-0.33511579485033394,-0.23373102031660212,0.4529262086513995,0.2557703306119681,0.43662872204271835,0.7283787220909712,1.2416235068236081,-0.37165043969121714,0.6882013400131394,0.47837150127226463,0.1890889143187553,0.43671959471643707,0.6213702183045018,0.8044231487301483,-0.650325198975618,0.29076055274592644,0.5267175572519084
gemini-2.5-pro,Gemini 2.5 Pro,Google,return,Exp. Return,0.6196065902290613,0.41695700769102273,1.356147461872707,1.997422895576478,-0.43467317291244056,1.425453947565964,0.5699745547073791,0.38664272530276533,0.3062654346347065,1.2089882214621401,1.990637416704589,-0.2899738932644652,1.333370811247946,0.5343511450381679,0.3395480046445869,0.2468829749100634,1.2966022233165833,2.172096662474783,-0.22198667556378382,1.5295873222220673,0.46055979643765904,0.07406273015838405,0.18062067295231365,0.482286234780339,0.7285740403037858,-0.19229808946768823,0.38514542897124715,0.4758269720101781,-0.23166180764138522,0.18075418554531694,-1.3547526849497877,-1.7395783069009125,-0.362061206361016,-0.6398415615131994,0.45038167938931295,1.078592006466887,0.4081408012517452,1.985423666020169,2.971681584610431,-0.37279152288230033,2.8932846920111586,0.5725190839694656
gemini-2.5-pro,Gemini 2.5 Pro,Google,sharpe,Sharpe,0.8539175140890662,0.2523757110412501,2.5536010936420155,4.291974798968047,-0.12594679788942942,6.77998590197373,0.5852417302798982,0.1901457844848795,0.2988895279159757,0.7274158994980513,1.0292844468624935,-0.3392727487134475,0.5604510978436354,0.5470737913486005,0.21600224736954,0.22493970276391836,0.9745434507340123,1.454701428875987,-0.24071143459144284,0.8973493416968682,0.5165394402035624,-0.1112674322326026,0.33977573740048705,-0.17708407538441184,-0.2608491512998696,-0.37348890665689494,-0.2979136200551688,0.46564885496183206,0.2769346721795387,0.39411392380485505,0.8048696341392545,1.432774079116612,-0.3817610161438644,0.7254137024697607,0.48854961832061067,0.26981738670147304,0.4161745269040801,0.7863445283306446,1.0338724473493914,-0.6311838292413032,0.4274782942804467,0.5318066157760815
gemini-2.5-pro,Gemini 2.5 Pro,Google,sortino,Sortino,0.7587920255748564,0.1990955649270245,2.915181878870225,4.795462759529062,-0.09562569740048754,7.935022135284189,0.5674300254452926,0.16316715926565872,0.27698122439419764,0.6802535524730665,0.9545337109272518,-0.35506034479698123,0.4595476843773008,0.5343511450381679,0.2206987322987375,0.2394378034164879,0.9450663245664014,1.4386584903737962,-0.26280874974353463,0.8397693475354578,0.49363867684478374,0.1094583361091559,0.372758633596857,0.458269160128508,0.7327053488816786,-0.34374899626236866,0.3184251802894316,0.4681933842239186,0.03042304127941442,0.3822213470480887,0.26705156928811613,0.4039209073383737,-0.4967429610831847,0.06124503750002764,0.48346055979643765,0.5017089311188059,0.38463535981415464,1.2435855422267912,1.7640828793131031,-0.568333444663406,0.8827721398939344,0.5470737913486005
claude-sonnet-4-20250514,Claude Sonnet 4,Anthropic,return,Exp. Return,1.450004549259781,0.33818862771249747,2.798819844206189,4.969258450243577,-0.2162331437576377,6.705746048279265,0.5776081424936387,0.1467635246379866,0.32628699780476705,0.5799306246604607,0.8147742874932719,-0.36503495541042164,0.40205334437896556,0.5368956743002544,0.08773406218479174,0.24726775973629367,0.4612183816407629,0.6354788617092982,-0.2316896221091953,0.37867066028293095,0.49872773536895676,-0.15506969873837362,0.23747174881143387,-0.585533664822607,-0.838409899539484,-0.3496451665004693,-0.4435059128385391,0.44783715012722647,-0.07047616014184688,0.22260332686068293,-0.2144369647432786,-0.29546485140128287,-0.3572496095552107,-0.19727428178183978,0.4681933842239186,1.5817220939930512,0.32380910212620273,3.0705233965067764,5.600738507443157,-0.18517682191442053,8.541685064257361,0.55470737913486
claude-sonnet-4-20250514,Claude Sonnet 4,Anthropic,sharpe,Sharpe,1.0397367637810278,0.2694597183537402,2.761561139575242,4.4417924714288555,-0.21238236572118552,4.895588954621538,0.5852417302798982,0.27175362499144984,0.3142460764828308,0.914055311094866,1.41496999914776,-0.33855369433422033,0.8026898821053022,0.539440203562341,0.23202800243381327,0.2195900565985144,1.0521383474801418,1.5624151875670398,-0.19491595529609806,1.1904002526696087,0.5139949109414759,0.09192363704955508,0.2854667559219884,0.44623332257465387,0.6940875338211487,-0.21382318958593205,0.429904900528165,0.4860050890585242,-0.24427779669576566,0.34933085202076347,-0.6220348507897562,-0.9028647733113723,-0.5324456544971506,-0.45878446867308015,0.4529262086513995,1.4728801718313775,0.34922395590565813,2.7530340775341853,4.133513658241701,-0.32611903183742075,4.516388275571873,0.5750636132315522
