mode,model,display,factor_model,alpha_ann,alpha_daily,alpha_t,alpha_p,r2,r2_adj,nobs,beta_Mkt_RF,t_Mkt_RF,p_Mkt_RF,beta_SMB,t_SMB,p_SMB,beta_HML,t_HML,p_HML,beta_MOM,t_MOM,p_MOM,beta_RMW,t_RMW,p_RMW,beta_CMA,t_CMA,p_CMA
return,gpt-4.1-2025-04-14,GPT-4.1,FF3,0.6094004292387558,0.0018901241378890168,2.431363693659963,0.015042106958910506,0.6751676704919962,0.6721128209981906,323,1.6926370087416645,25.822490975155965,4.9577760586980374e-147,-0.1597727070716824,-1.2087983926607553,0.22674030927269384,-0.6495816681372839,-4.841068098811235,1.2914310343811936e-06,,,,,,,,,
return,gpt-4.1-2025-04-14,GPT-4.1,Carhart4,0.5706408349501597,0.0017932079064013051,2.297271600970449,0.02160328079473101,0.6821738594247675,0.6781760463357709,323,1.6764611230261275,26.9724958943839,3.1076555966915953e-160,-0.05909015617083224,-0.41545203006487935,0.6778110246988164,-0.5782829338322732,-4.468037852208081,7.89403397169173e-06,0.2533002913847317,2.328010707502479,0.01991153510901771,,,,,,
return,gpt-4.1-2025-04-14,GPT-4.1,FF5,0.48423008007949875,0.0015682767681986574,2.062354933303388,0.03917395659277223,0.6956423806528875,0.6908417872877912,323,1.5911691343733825,24.290179927220862,2.4895211471142625e-130,-0.399963140345208,-2.7662652068866955,0.005670240039018692,-0.445302018239896,-3.069440947552394,0.0021445979857161327,,,,-0.7708043826475721,-4.821432747545894,1.4253077468389917e-06,0.08520258799124629,0.4300782683844237,0.6671387075972521
return,gpt-4.1-2025-04-14,GPT-4.1,FF6,0.4797963129306353,0.0015563863103946625,2.0502024428154186,0.04034467972303252,0.6983774766195111,0.6926504666819069,323,1.588563084520885,23.82593620045504,1.7989420363890312e-125,-0.30943035741422803,-1.887976912615855,0.059029049959859345,-0.42836071816919463,-3.1268727471098785,0.0017667638140561005,0.17563033045057058,1.3832685811650343,0.16658252798725115,-0.6887861515447994,-3.7981299563036495,0.00014579188306932991,0.18799546788708868,0.9145354822764395,0.36043554233306174
return,gpt-4.1-mini-2025-04-14,GPT-4.1 mini,CAPM,1.81627676918608,0.0041172451924721765,2.919982809468386,0.0035005069456854076,0.32419963560746634,0.32209433852213143,323,1.4996928946449575,14.0971231623138,3.9556944091920314e-45,,,,,,,,,,,,,,,
return,gpt-4.1-mini-2025-04-14,GPT-4.1 mini,FF3,1.900283324363345,0.004234369996345666,3.099682816198416,0.0019372798097571566,0.3418879719120065,0.33569883058202543,323,1.4258182122714267,13.55538135243137,7.362849638082365e-42,-0.2053432743765945,-1.283693911250334,0.19924907569223993,-0.4642115629366484,-3.0423393957827174,0.0023474704870698787,,,,,,,,,
return,gpt-4.1-mini-2025-04-14,GPT-4.1 mini,Carhart4,1.818219390715119,0.00411999275511235,3.0291534055498306,0.0024524012005070956,0.3491415995068041,0.3409547013873928,323,1.406727981932855,16.73648284340397,7.106507202713907e-63,-0.08652115102750672,-0.4954030613935081,0.6203156341640127,-0.3800672208791387,-2.5323695032301647,0.01132945322244473,0.29893639163866564,2.146101197394012,0.03186490577716675,,,,,,
return,gpt-4.1-mini-2025-04-14,GPT-4.1 mini,FF5,1.483342724306949,0.003616067990688641,3.177111935127364,0.0014874961234173205,0.39068045566044685,0.3810697372954698,323,1.3028917872478305,17.351677337250912,1.9156811673927793e-67,-0.4991190998822765,-2.1910215733319314,0.028450231332833375,-0.09305676272601031,-0.5323990916424912,0.5944496141761058,,,,-1.0693354194730684,-2.375801747199555,0.017510868353985683,-0.7942522556322027,-2.6164604210064373,0.008884666396866593
return,gpt-4.1-mini-2025-04-14,GPT-4.1 mini,FF6,1.4847917843185683,0.0036183912121016985,3.173151030372955,0.0015079405921645138,0.39075807033372,0.37919018559322093,323,1.3034009712438226,17.313146886208965,3.7438233934559634e-67,-0.51680788052351,-1.7898361547326254,0.07348025506114045,-0.0963668447871833,-0.5615315709203732,0.5744352143502224,-0.03431559583953079,-0.1725049546140382,0.8630405665327486,-1.0853605813159872,-2.154212568430637,0.031223505668098905,-0.8143364797672822,-2.1569765118636908,0.031007494606732394
return,gemini-2.5-flash,Gemini 2.5 Flash,CAPM,0.5065472901124937,0.0016275948025697726,1.7455260560859474,0.08089334095891103,0.5255685528064491,0.5243362633332191,387,1.5613086776844034,10.624273737875965,2.2979381917508124e-26,,,,,,,,,,,,,,,
