Q1_CAGR,Q1_Sharpe,Q1_MDD,LS_CAGR,LS_Sharpe,LS_Sortino,LS_MDD,Mean_IC,ICIR,Months,Avg_Names,Min_Names,Avg_Q1_Turnover,Avg_Q5_Turnover,Avg_LS_Turnover,Max_LS_Turnover,Panel,Ranker,Vendor,Mode,Order,CostBps
0.18926656358083416,0.9544901132774293,-0.19448853409767686,-0.12183347169017711,-0.5687545026290431,-0.7418158637287006,-0.23478808292100084,-0.02914122914122914,-0.9007652857642392,15,27.0,27,0.11904761904761904,0.17142857142857143,0.29047619047619044,0.7333333333333334,Baseline,ROE Quality,Non-LLM,baseline,3,20.0
0.18437672424164187,0.9340785927519067,-0.19448853409767697,-0.13005837243446106,-0.6162259892474045,-0.8022473919356577,-0.23760667734769747,-0.02914122914122914,-0.9007652857642392,15,27.0,27,0.11904761904761904,0.17142857142857143,0.29047619047619044,0.7333333333333334,Baseline,ROE Quality,Non-LLM,baseline,3,40.0
0.16979355802355456,0.8722652553848114,-0.19448853409767708,-0.15437453848923466,-0.7558331012137639,-0.9767849324520692,-0.24920439181629261,-0.02914122914122914,-0.9007652857642392,15,27.0,27,0.11904761904761904,0.17142857142857143,0.29047619047619044,0.7333333333333334,Baseline,ROE Quality,Non-LLM,baseline,3,100.0
0.25069063053369933,1.1315812898789843,-0.1732116463768234,-0.35329355025707176,-1.1716934701737711,-1.5210787193024713,-0.51283453739146,-0.028612128612128605,-0.35405196889633256,15,27.0,27,0.16666666666666666,0.028571428571428574,0.19523809523809524,0.4,Baseline,Value (E/P),Non-LLM,baseline,4,0.0
0.24425515254649843,1.1076873708978319,-0.17543106699704292,-0.35800560103638046,-1.1942063719645184,-1.5493055555280832,-0.5154882842942952,-0.028612128612128605,-0.35405196889633256,15,27.0,27,0.16666666666666666,0.028571428571428574,0.19523809523809524,0.4,Baseline,Value (E/P),Non-LLM,baseline,4,20.0
0.23784595707412248,1.0836844801103236,-0.17764601742131436,-0.3626931031027101,-1.2165500420455377,-1.5771531097596763,-0.5181293837082296,-0.028612128612128605,-0.35405196889633256,15,27.0,27,0.16666666666666666,0.028571428571428574,0.19523809523809524,0.4,Baseline,Value (E/P),Non-LLM,baseline,4,40.0
0.21877522510724123,1.011106903117518,-0.18426410754726108,-0.37660933597134927,-1.282471927326925,-1.6582534183541626,-0.5259773127594051,-0.028612128612128605,-0.35405196889633256,15,27.0,27,0.16666666666666666,0.028571428571428574,0.19523809523809524,0.4,Baseline,Value (E/P),Non-LLM,baseline,4,100.0
0.08535334756035229,0.5402242305111438,-0.14464214177668688,-0.5517413767346317,-2.107028936877834,-2.656541692052821,-0.659991907616871,-0.10962233169129719,-1.2443226165923478,15,29.0,29,0.7619047619047618,0.6571428571428573,1.4190476190476191,2.933333333333333,Baseline,Composite,Non-LLM,baseline,5,0.0
0.06591950088260567,0.4403457224649094,-0.14815751093571639,-0.5667170212243503,-2.2016559742991593,-2.7641638972334204,-0.6714232057915135,-0.10962233169129719,-1.2443226165923478,15,29.0,29,0.7619047619047618,0.6571428571428573,1.4190476190476191,2.933333333333333,Baseline,Composite,Non-LLM,baseline,5,20.0
0.04679976910713868,0.34046389323103937,-0.1516665342113631,-0.5812411906359953,-2.2940818756281436,-2.867549139024861,-0.6836703206300689,-0.10962233169129719,-1.2443226165923478,15,29.0,29,0.7619047619047618,0.6571428571428573,1.4190476190476191,2.933333333333333,Baseline,Composite,Non-LLM,baseline,5,40.0
-0.008719869796747326,0.04354280360024045,-0.16215552873801153,-0.6222251383777824,-2.5559872215496697,-3.1497139728238954,-0.7197801685403344,-0.10962233169129719,-1.2443226165923478,15,29.0,29,0.7619047619047618,0.6571428571428573,1.4190476190476191,2.933333333333333,Baseline,Composite,Non-LLM,baseline,5,100.0
0.24910731451564705,0.8338830068167257,-0.35040790493130636,-0.2800907898607855,-0.7942466097292696,-1.053278371460152,-0.5437814065723559,0.027484035759897836,0.1455437041191262,15,28.733333333333334,28,1.4285714285714286,1.4000000000000001,2.828571428571429,4.0,LLM,GPT-4o,OpenAI,return,0,0.0
0.2094877755436908,0.7373793155199247,-0.3590122564084851,-0.32487527269937544,-0.9840547303531504,-1.2934014736827397,-0.5586618722979269,0.027484035759897836,0.1455437041191262,15,28.733333333333334,28,1.4285714285714286,1.4000000000000001,2.828571428571429,4.0,LLM,GPT-4o,OpenAI,return,0,20.0
0.17100404565928273,0.6399531402183934,-0.367528873009355,-0.3671313056934459,-1.1703641600528458,-1.5259902320522893,-0.5731497496188287,0.027484035759897836,0.1455437041191262,15,28.733333333333334,28,1.4285714285714286,1.4000000000000001,2.828571428571429,4.0,LLM,GPT-4o,OpenAI,return,0,40.0
0.06207955417792177,0.34482970122106665,-0.39255874137651814,-0.4799828322311238,-1.6910831656077185,-2.145023909974788,-0.6282796913798618,0.027484035759897836,0.1455437041191262,15,28.733333333333334,28,1.4285714285714286,1.4000000000000001,2.828571428571429,4.0,LLM,GPT-4o,OpenAI,return,0,100.0
-0.2265792250919757,-0.9329011533301735,-0.3525009150207786,-0.6170101943012112,-3.7668599179568636,-4.456456475706592,-0.7200739011723758,-0.3065228816266455,-6.838392952027448,15,25.2,20,0.8904761904761905,1.2714285714285711,2.161904761904762,2.9333333333333336,LLM,GPT-4o mini,OpenAI,return,1,0.0
-0.24249578117686466,-1.018676428192455,-0.36700867493652456,-0.6356986079582305,-3.9691267064547753,-4.6592539925626735,-0.7365802627053468,-0.3065228816266455,-6.838392952027448,15,25.2,20,0.8904761904761905,1.2714285714285711,2.161904761904762,2.9333333333333336,LLM,GPT-4o mini,OpenAI,return,1,20.0
-0.25811579164924614,-1.1037829248723408,-0.38140400329610713,-0.6535569786466131,-4.156020230084685,-4.839452352241691,-0.7521851475573265,-0.3065228816266455,-6.838392952027448,15,25.2,20,0.8904761904761905,1.2714285714285711,2.161904761904762,2.9333333333333336,LLM,GPT-4o mini,OpenAI,return,1,40.0
-0.30324573554745116,-1.3533964962059457,-0.4228166472417303,-0.7024783301743609,-4.610413446611186,-5.230368012280176,-0.7940337372057149,-0.3065228816266455,-6.838392952027448,15,25.2,20,0.8904761904761905,1.2714285714285711,2.161904761904762,2.9333333333333336,LLM,GPT-4o mini,OpenAI,return,1,100.0
0.9253433913069344,1.8073673763607863,-0.3446077917486542,1.0514088066359681,2.211926034224275,3.480554564390118,-0.3115237894109826,0.27089571148405533,1.9834938867874687,14,20.266666666666666,1,0.9047619047619049,1.1619047619047618,2.0666666666666664,4.0,LLM,GPT-4.1,OpenAI,return,2,0.0
0.8850436929139909,1.7547355220669716,-0.34730087826036427,0.9587324579793719,2.0790536512534,3.2526633598677477,-0.3224280216530161,0.27089571148405533,1.9834938867874687,14,20.266666666666666,1,0.9047619047619049,1.1619047619047618,2.0666666666666664,4.0,LLM,GPT-4.1,OpenAI,return,2,20.0
0.845493976804611,1.7016592282945857,-0.349988448103733,0.8698258259697804,1.943098499280324,3.0198732984622585,-0.33322014970177527,0.27089571148405533,1.9834938867874687,14,20.266666666666666,1,0.9047619047619049,1.1619047619047618,2.0666666666666664,4.0,LLM,GPT-4.1,OpenAI,return,2,40.0
0.7312225373800278,1.5402570481986084,-0.35801805762379635,0.6243776433985464,1.5242638815948921,2.3050746113885237,-0.3649294527905024,0.27089571148405533,1.9834938867874687,14,20.266666666666666,1,0.9047619047619049,1.1619047619047618,2.0666666666666664,4.0,LLM,GPT-4.1,OpenAI,return,2,100.0
1.2466094398655407,2.6187298973762094,-0.20798524042688815,1.3844667383522404,2.669103255242792,4.45063867856809,-0.327770049638456,0.29358645942100015,1.968921017749974,14,18.333333333333332,1,1.380952380952381,1.557142857142857,2.938095238095238,4.0,LLM,GPT-4.1 mini,OpenAI,return,3,0.0
1.1767902767889193,2.517755166823288,-0.21452639141316365,1.2338804555142593,2.474760048005871,4.089998385078093,-0.34854186979038326,0.29358645942100015,1.968921017749974,14,18.333333333333332,1,1.380952380952381,1.557142857142857,2.938095238095238,4.0,LLM,GPT-4.1 mini,OpenAI,return,3,20.0
1.1089262070221286,2.415132868970051,-0.2210404717796861,1.0919566861636394,2.2744948380992063,3.7210749764605398,-0.36882887480444204,0.29358645942100015,1.968921017749974,14,18.333333333333332,1,1.380952380952381,1.557142857142857,2.938095238095238,4.0,LLM,GPT-4.1 mini,OpenAI,return,3,40.0
0.9165814476452308,2.1004220713075568,-0.24460689641606415,0.7137673260595767,1.658964471253996,2.5900828907047924,-0.42711311939216146,0.29358645942100015,1.968921017749974,14,18.333333333333332,1,1.380952380952381,1.557142857142857,2.938095238095238,4.0,LLM,GPT-4.1 mini,OpenAI,return,3,100.0
0.7791900680443316,2.0586067522337594,-0.2102131109630141,0.34630532304225503,1.2199597740104446,1.824497703825758,-0.23848690862320332,0.16232244218677697,2.288920434531339,14,16.333333333333332,1,1.1,1.3357142857142856,2.435714285714286,3.1,LLM,GPT-4.1 nano,OpenAI,return,4,0.0
0.7347786891355204,1.9745863292558203,-0.2112649733144374,0.27623928280899857,1.0244353263412629,1.5196453922302262,-0.24247115104449357,0.16232244218677697,2.288920434531339,14,16.333333333333332,1,1.1,1.3357142857142856,2.435714285714286,3.1,LLM,GPT-4.1 nano,OpenAI,return,4,20.0
0.691369190571868,1.8893051912685908,-0.2123168356658609,0.20950030200747594,0.8264752263417136,1.2154364891471723,-0.2596898858411133,0.16232244218677697,2.288920434531339,14,16.333333333333332,1,1.1,1.3357142857142856,2.435714285714286,3.1,LLM,GPT-4.1 nano,OpenAI,return,4,40.0
0.566951381424974,1.6276949012181912,-0.21685230709835446,0.027844944745534894,0.23783544086369637,0.33707942916642897,-0.3455974295737384,0.16232244218677697,2.288920434531339,14,16.333333333333332,1,1.1,1.3357142857142856,2.435714285714286,3.1,LLM,GPT-4.1 nano,OpenAI,return,4,100.0
0.779309558842473,1.7761034427702522,-0.3028516209507641,0.6488702008067575,1.6255239071844154,2.379064022809338,-0.436513400503484,0.24592005478342766,1.858204681515646,14,20.4,1,0.9761904761904762,1.2142857142857146,2.1904761904761907,3.333333333333333,LLM,o4-mini,OpenAI,return,5,0.0
0.7396724543208517,1.7143524091815119,-0.3071273800998753,0.5705148025788289,1.4851213226088182,2.163416748994005,-0.4551947052110483,0.24592005478342766,1.858204681515646,14,20.4,1,0.9761904761904762,1.2142857142857146,2.1904761904761907,3.333333333333333,LLM,o4-mini,OpenAI,return,5,20.0
0.7008227154208047,1.6518235869870508,-0.3180729819450242,0.49552739984172756,1.3417787527166296,1.9454211832336015,-0.47336059258414076,0.24592005478342766,1.858204681515646,14,20.4,1,0.9761904761904762,1.2142857142857146,2.1904761904761907,3.333333333333333,LLM,o4-mini,OpenAI,return,5,40.0
0.5888605181697126,1.4603743512830447,-0.3500718189719393,0.2894979483009421,0.9027485776993376,1.2860133761880224,-0.5248783023248871,0.24592005478342766,1.858204681515646,14,20.4,1,0.9761904761904762,1.2142857142857146,2.1904761904761907,3.333333333333333,LLM,o4-mini,OpenAI,return,5,100.0
0.8697762751785465,1.7229521982836802,-0.3188992177046017,1.531821217587141,2.762343268751339,4.444752193201835,-0.24883522315222528,0.31049838671904734,2.2949729179049263,14,20.6,1,0.857142857142857,1.0238095238095237,1.8809523809523812,3.666666666666667,LLM,o3,OpenAI,return,6,0.0
0.8326103161768099,1.673809977141297,-0.3211806145637829,1.4273428738655904,2.6435310788119457,4.240878738105193,-0.25564450425614205,0.31049838671904734,2.2949729179049263,14,20.6,1,0.857142857142857,1.0238095238095237,1.8809523809523812,3.666666666666667,LLM,o3,OpenAI,return,6,20.0
0.7961002753731887,1.6242641313233286,-0.32844933788385755,1.32676332763653,2.52152476933054,4.034403856412562,-0.26266974085946015,0.31049838671904734,2.2949729179049263,14,20.6,1,0.857142857142857,1.0238095238095237,1.8809523809523812,3.666666666666667,LLM,o3,OpenAI,return,6,40.0
0.6904045600362616,1.4736131826596353,-0.349907033090196,1.0471321354239715,2.1416341057474777,3.371686599978918,-0.29555246449486194,0.31049838671904734,2.2949729179049263,14,20.6,1,0.857142857142857,1.0238095238095237,1.8809523809523812,3.666666666666667,LLM,o3,OpenAI,return,6,100.0
1.3818614152580722,2.678279338849926,-0.23155589904160245,1.9337244649320011,3.348210141568159,5.754919585487772,-0.18423485968995978,0.34722688009909103,2.7498877557548154,15,22.066666666666666,9,1.0238095238095235,1.180952380952381,2.204761904761905,4.0,LLM,Gemini 2.5 Flash,Google,return,7,0.0
1.3267813213448618,2.6150788700958394,-0.239696787083859,1.7905984019720957,3.215012026160624,5.477153213687664,-0.19765885721374954,0.34722688009909103,2.7498877557548154,15,22.066666666666666,9,1.0238095238095235,1.180952380952381,2.204761904761905,4.0,LLM,Gemini 2.5 Flash,Google,return,7,20.0
1.2728439497232387,2.5504138010130935,-0.24777529987470315,1.6537865286282125,3.073694439245873,5.191553471712779,-0.21094158802214358,0.34722688009909103,2.7498877557548154,15,22.066666666666666,9,1.0238095238095235,1.180952380952381,2.204761904761905,4.0,LLM,Gemini 2.5 Flash,Google,return,7,40.0
1.1176793636977544,2.348469985552937,-0.271639634428655,1.2787854174416666,2.6097360122334794,4.251217904041316,-0.2499494081097684,0.34722688009909103,2.7498877557548154,15,22.066666666666666,9,1.0238095238095235,1.180952380952381,2.204761904761905,4.0,LLM,Gemini 2.5 Flash,Google,return,7,100.0
1.167584765470886,2.18053668327181,-0.30067422391851883,1.8766729461073277,3.045523022541574,4.885002311755518,-0.20792401116212733,0.27032361293753504,1.9028666131393037,15,22.0,9,0.7952380952380952,1.0047619047619047,1.8000000000000003,3.666666666666667,LLM,Gemini 2.5 Pro,Google,return,8,0.0
1.127275071015069,2.1313450196226467,-0.30767885628468206,1.7586895347907023,2.931007823500986,4.68619047323827,-0.22543727076705045,0.27032361293753504,1.9028666131393037,15,22.0,9,0.7952380952380952,1.0047619047619047,1.8000000000000003,3.666666666666667,LLM,Gemini 2.5 Pro,Google,return,8,20.0
1.0876368825836318,2.081713694640911,-0.3146298544807994,1.6450590272839913,2.8128984171458105,4.482537119530989,-0.24265124032035357,0.27032361293753504,1.9028666131393037,15,22.0,9,0.7952380952380952,1.0047619047619047,1.8000000000000003,3.666666666666667,LLM,Gemini 2.5 Pro,Google,return,8,40.0
0.9726527951182757,1.9305559352667272,-0.33516398041735085,1.3288755489191613,2.4420866023387773,3.835738372511864,-0.292534319690265,0.27032361293753504,1.9028666131393037,15,22.0,9,0.7952380952380952,1.0047619047619047,1.8000000000000003,3.666666666666667,LLM,Gemini 2.5 Pro,Google,return,8,100.0
1.5194067694625777,2.818963404699406,-0.21623314375763747,2.064480477497261,3.5994464906565677,6.595024438614736,-0.1767099722087444,0.4008317855985198,3.4493634926288697,15,22.266666666666666,9,0.9642857142857142,1.1809523809523808,2.145238095238095,3.333333333333333,LLM,Claude Sonnet 4,Anthropic,return,9,0.0
1.4638643940235458,2.7562544563228384,-0.21979698306243656,1.9178716552921866,3.4572484499727754,6.263944660282659,-0.1795087923594999,0.4008317855985198,3.4493634926288697,15,22.266666666666666,9,0.9642857142857142,1.1809523809523808,2.145238095238095,3.333333333333333,LLM,Claude Sonnet 4,Anthropic,return,9,20.0
1.4094273770762116,2.6924255379399353,-0.2233553466427174,1.7776531294304503,3.3073707698921715,5.91584271477061,-0.1823076125102554,0.4008317855985198,3.4493634926288697,15,22.266666666666666,9,0.9642857142857142,1.1809523809523808,2.145238095238095,3.333333333333333,LLM,Claude Sonnet 4,Anthropic,return,9,40.0
1.2525532759180344,2.494981676477901,-0.23399758303645257,1.3928681700224583,2.8213181607285636,4.7885399942082465,-0.19640917340021558,0.4008317855985198,3.4493634926288697,15,22.266666666666666,9,0.9642857142857142,1.1809523809523808,2.145238095238095,3.333333333333333,LLM,Claude Sonnet 4,Anthropic,return,9,100.0
1.6793663712797904,2.8927045243495337,-0.20365462812272994,2.5172599803032973,3.878049397999727,6.949980464883817,-0.15533344968007046,0.41514648923744685,3.0687190794742314,15,22.666666666666668,9,1.1666666666666665,1.2142857142857142,2.380952380952381,4.0,LLM,Claude Opus 4,Anthropic,return,10,0.0
1.6092081656055317,2.8227698608536635,-0.20901381579197442,2.3313548124866057,3.719027491619643,6.590842062644152,-0.16434407584534094,0.41514648923744685,3.0687190794742314,15,22.666666666666668,9,1.1666666666666665,1.2142857142857142,2.380952380952381,4.0,LLM,Claude Opus 4,Anthropic,return,10,20.0
1.5406978294025016,2.7511263368777135,-0.21435537635208102,2.154382696397076,3.551435706846417,6.210851212070678,-0.1733063969500841,0.41514648923744685,3.0687190794742314,15,22.666666666666668,9,1.1666666666666665,1.2142857142857142,2.380952380952381,4.0,LLM,Claude Opus 4,Anthropic,return,10,40.0
1.34471333881995,2.5271038683666536,-0.23027429537757416,1.673271056097506,3.010642793578514,4.994779312832479,-0.199903529901154,0.41514648923744685,3.0687190794742314,15,22.666666666666668,9,1.1666666666666665,1.2142857142857142,2.380952380952381,4.0,LLM,Claude Opus 4,Anthropic,return,10,100.0
